feature,class
"[-3.98207001e+02  4.54055710e+01  8.34939766e+00  3.99870605e+01
 -8.38505745e+00 -6.90794849e+00 -1.58634615e+01 -4.44630194e+00
 -1.10978537e+01  6.33450842e+00 -2.21799660e+01  3.07504702e+00
 -1.10427237e+01  4.74718761e+00 -8.06850052e+00 -7.70367479e+00
 -9.93078423e+00 -2.46722937e-01 -1.04441824e+01 -4.07694006e+00
 -1.27725658e+01 -1.12573171e+00 -9.36721420e+00 -5.74635983e+00
 -4.50845337e+00 -7.74510002e+00 -4.50674725e+00 -7.22693491e+00
 -3.37056875e+00 -9.29309559e+00 -4.86512089e+00 -3.00675344e+00
 -6.39300728e+00 -2.46931314e+00 -3.59344029e+00 -1.71532941e+00
 -4.46409321e+00 -2.46763659e+00 -2.94366026e+00 -1.52859938e+00]",Andrew Santino
"[-299.2406     104.40083    -15.0335245   34.76874      2.3961682
   -7.54112     -8.469982    -3.4072351  -14.565702     8.142495
  -23.520359    11.016411   -13.165059    -2.3390377   -4.7045193
   -3.9070926  -12.526178     2.8147576   -9.613497    -3.61535
   -7.792944    -2.7528348   -5.5392747   -5.8245306   -5.0473204
   -5.955687    -4.348611    -8.039194    -3.5032048   -6.5674534
   -3.4099255   -5.8898807   -3.8853362   -5.031518    -4.7564273
   -4.847583    -5.7319746   -3.5559154   -3.419399    -1.0998025]",Andrew Santino
"[-4.4159039e+02  4.9310581e+01 -1.2301148e+01  1.9416086e+01
 -1.8372057e+01 -3.8924825e+00 -1.9948755e+01 -5.4639792e+00
 -6.6690965e+00 -9.1338701e+00 -8.7998257e+00 -4.6961746e+00
 -7.7564993e+00 -3.2109630e+00 -1.1105778e+01 -1.3623416e+00
 -8.6135969e+00 -5.0978551e+00 -7.7178311e+00 -2.6434958e+00
 -4.7426467e+00 -5.7825770e+00 -6.1291051e+00 -1.3240116e+00
 -3.5828254e+00 -3.3113225e+00 -4.2110205e+00 -3.1977377e+00
 -4.0687313e+00 -2.9696863e+00 -4.3828406e+00 -3.5179200e+00
 -9.6515280e-01 -1.4554553e+00 -1.0270184e+00 -7.1845371e-01
 -1.1018486e-01 -1.1249173e+00 -9.6434575e-01 -7.1988696e-01]",Sarah Silverman
"[-2.8537634e+02  6.3392567e+01 -1.7527710e+01  2.1675386e+01
 -2.0360180e+01 -9.0158024e+00 -2.1712959e+01 -1.5694127e+01
 -1.2476672e+01 -5.7255678e+00 -2.2654783e+01  7.4368075e-02
 -1.3520261e+01  7.1037645e+00 -8.8063250e+00 -2.3520231e+00
 -8.1312971e+00 -1.6933333e+00 -5.7043295e+00 -3.9948618e+00
 -4.2657571e+00 -3.5387044e+00 -3.6280210e+00  1.9706378e+00
 -4.0723233e+00  7.9365093e-01 -4.1717868e+00 -2.0432489e+00
 -4.0253210e-01 -1.5099101e+00  8.8211173e-01 -2.2447911e-01
  1.4622921e+00  5.7882065e-01 -9.0399063e-01 -1.4122764e+00
 -1.9674510e+00 -7.7394801e-01 -2.3749855e+00 -1.1417311e+00]",Sofia Franklyn
"[-4.5099341e+02  7.3272278e+01 -3.0768132e+00  3.2535149e+01
  8.1714363e+00 -1.6178079e+00 -2.4692213e+01 -1.0030332e+01
 -1.0470647e+01  6.4195409e+00 -2.1631680e+01  8.9338207e+00
 -1.2903286e+01 -2.8777256e+00 -6.9476256e+00 -6.5960546e+00
 -1.0943751e+01 -2.2589350e-01 -6.9672017e+00 -4.5172791e+00
 -1.3900411e+01 -1.4915403e+00 -6.2657218e+00 -4.6515088e+00
 -3.8299780e+00 -8.5365086e+00 -4.1385875e+00 -8.2391644e+00
 -3.5003264e+00 -7.5824032e+00 -3.0267708e+00 -5.4600906e+00
 -5.6256227e+00 -4.5588741e+00 -4.8922572e+00 -4.1409388e+00
 -4.3906660e+00 -4.0238390e+00 -3.8827469e+00 -2.4810290e+00]",Andrew Santino
"[-2.6700897e+02  7.8594208e+01 -7.9044576e+00  4.7297020e+01
  1.4336171e+00  1.9256332e+00 -1.0456504e+01 -5.4148498e+00
 -1.1062043e+01  1.1393016e+01 -1.7783993e+01  8.6735659e+00
 -1.0017905e+01  4.4092269e+00  1.0456799e+00  1.4340966e+00
 -1.0642331e+01  7.4491248e+00 -8.0965948e+00  1.9587395e+00
 -7.2009912e+00  9.2792118e-01 -4.2266216e+00 -2.0452578e+00
 -2.5417554e+00 -1.2434103e+00 -1.4235947e+00 -9.5839238e-01
  3.8223416e-01 -7.2845960e-01 -2.5958104e+00 -5.8448619e-01
 -4.4239860e+00 -1.6986359e+00 -2.7857432e+00 -3.4850676e+00
 -2.7244792e+00 -1.9374607e+00  8.1891984e-02  1.9997174e+00]",Bill Burr
"[-4.0213358e+02  4.8218124e+01 -1.1355236e+01 -1.9200193e+00
 -2.6595325e+01 -9.9530716e+00 -4.2963624e+00  3.5303736e+00
  1.8557194e+00  2.0286528e+01 -2.7550334e-01 -3.4006927e+00
 -5.2847123e+00 -4.5870008e+00 -4.8709040e+00 -1.4807027e+01
 -8.1734867e+00 -5.5155430e+00 -4.4869370e+00 -2.3676617e+00
 -1.0015362e+01 -7.7669592e+00 -4.8811421e+00 -4.3223758e+00
 -6.1479321e+00 -6.3395643e+00 -2.8180876e+00 -7.6002445e+00
 -8.3299398e+00 -5.3476830e+00 -4.8873043e+00 -3.1390028e+00
 -1.9504306e+00  9.6068275e-01 -1.4221098e+00 -5.0151443e-01
 -8.7220746e-01 -2.3281493e+00 -2.9339867e+00 -1.4492674e+00]",Sarah Silverman
"[-3.1980038e+02  8.0442039e+01  1.3509742e+00  2.2434635e+01
 -5.1756172e+00  8.8535815e-02 -6.9749594e+00 -5.7389789e+00
 -1.1626103e+01  6.3508520e+00 -1.5380491e+01  6.6058569e+00
 -9.8655720e+00 -1.5760334e-01 -3.2971094e+00 -4.3738508e+00
 -7.8369594e+00  1.3779075e+00 -9.7226763e+00 -2.7198977e+00
 -7.2296114e+00 -2.5675137e+00 -7.3516316e+00 -6.4567137e+00
 -4.8162289e+00 -4.8575258e+00 -5.5961561e+00 -3.5450933e+00
 -1.7301227e+00 -3.1385388e+00 -2.1063581e+00 -2.9697082e+00
 -3.9059050e+00 -2.4425993e+00 -4.5388651e+00 -2.8366764e+00
 -3.1052833e+00 -1.3764256e+00 -1.1009102e+00 -1.3827146e+00]",Andrew Santino
"[-231.75093      55.162014    -38.57621      22.345917    -28.092285
  -19.020401    -19.310974    -12.267818    -17.92593       3.3954225
  -27.018188     -6.834358    -14.864673      4.19543     -15.180218
   -5.6851354    -6.723242     -4.2133        2.3885772     9.21154
    3.0313494     3.4301722     1.9797131     4.006817     -1.7981895
    5.7258477    -4.187907      0.9065035    -2.118734     -2.382834
   -0.27205026   -1.6952975     1.3243048    -4.9579535    -1.6695222
   -2.3912816    -3.6472468    -2.1263516    -2.0248518     0.7592837 ]",Sofia Franklyn
"[-2.8445047e+02  1.2755949e+02  2.4587815e+00  2.3131166e+01
  5.8378849e+00  3.0027254e+00 -4.2387724e+00 -7.3335376e+00
 -1.2679435e+01  4.2087111e+00 -1.0494148e+01  1.1688396e+01
 -1.2805937e+01  2.5054998e+00 -4.1080201e-01  2.1071382e+00
 -7.2827358e+00  3.7574081e+00 -6.7005868e+00 -5.5199683e-02
 -7.4411197e+00 -7.4270010e-01 -5.4413104e+00 -4.5247469e+00
 -2.2202547e+00 -1.4319992e+00 -3.9326129e+00 -2.4249156e+00
 -1.6454977e-01 -3.0840750e+00  2.9692471e-01 -2.4285729e+00
 -3.2415667e+00 -1.3518250e+00 -3.4144604e+00 -2.4686763e+00
 -2.8425417e+00 -3.7633057e+00 -1.0958494e+00 -1.5488741e+00]",Bill Burr
"[-3.66412292e+02  9.23169632e+01  7.20242357e+00  3.95605125e+01
 -3.23660398e+00 -7.92239904e+00 -1.45298815e+01 -3.36137581e+00
 -1.64241848e+01 -1.10419779e+01 -1.11801119e+01 -5.76908541e+00
 -1.36405602e+01 -8.47595024e+00 -8.08262730e+00 -4.57231331e+00
 -1.28562241e+01 -5.46600294e+00 -8.99704266e+00 -8.35128689e+00
 -6.20481014e+00 -6.28205442e+00 -6.45343113e+00 -1.92777860e+00
 -7.59906673e+00 -4.37832403e+00 -6.00904226e+00 -8.24353027e+00
 -3.28467155e+00 -6.32105207e+00 -4.39440584e+00 -4.99431372e+00
 -4.27768469e+00 -2.29740691e+00 -1.83637071e+00 -2.11344886e+00
 -8.02037418e-01 -6.76917076e-01 -4.64675091e-02  1.64333034e+00]",Sarah Silverman
"[-3.6499899e+02  1.1292382e+02  4.9548454e+00  2.1956543e+01
  9.3417654e+00  6.5123348e+00 -1.2358440e+01  2.2029541e+00
 -8.2555618e+00  5.5918989e+00 -1.1078225e+01  1.7113472e+01
 -1.3893230e+01  6.8050137e+00 -3.8945622e+00  7.9378781e+00
 -8.6638260e+00  4.7450600e+00 -4.4552093e+00  3.9315202e+00
 -9.8742113e+00  2.0156891e+00 -6.3780165e+00 -1.1458321e+00
 -5.1255040e+00 -7.4789412e-02 -2.1996830e+00 -2.2427466e+00
 -2.1412198e-01 -7.1953297e-02 -3.4272456e-01 -1.0294245e+00
 -1.8412223e+00  6.7585832e-01 -2.0490010e+00 -5.2473521e-01
 -1.1629366e+00 -1.9870842e+00  5.6574357e-01 -1.4568626e+00]",Bill Burr
"[-3.3382510e+02  7.6844505e+01  2.3979118e+00  1.5473859e+01
 -3.3702922e+00 -1.2245972e+00 -7.4206290e+00 -3.8472178e+00
 -1.6516554e+01  9.7609386e+00 -1.2578280e+01  5.5456018e+00
 -3.2782419e+00  1.2435440e+00  1.9839795e-01  5.6229383e-01
 -8.5356798e+00  5.9608859e-01 -5.2697377e+00 -5.6668334e+00
 -9.4312668e+00 -1.9201653e+00 -8.6331873e+00 -2.7940271e+00
 -5.1492538e+00 -1.7987700e+00 -2.7087438e+00 -4.8707552e+00
 -4.7009053e+00 -4.2551494e+00 -2.7696002e+00 -1.5160882e+00
 -2.0484235e+00 -1.2582609e-01 -1.4160717e+00 -9.3099940e-01
 -2.2375002e+00 -1.7566944e+00 -1.0593963e+00 -9.4194782e-01]",Andrew Santino
"[-305.7472       83.07368      -8.259877     28.235386      2.6065826
   -2.1732075   -19.329418     -2.0477002   -14.522552      0.974663
  -12.844521      4.607978    -13.230301     -1.7218496    -4.7281895
   -7.1186805   -11.679876      2.6569464   -14.48009      -0.69982916
   -9.133024     -4.319872     -5.80354      -5.440025     -4.76809
   -5.8043423    -5.997565     -5.2632565    -2.9085617    -3.2272491
    0.39442304    0.6367448     2.9705331     4.126687      6.492862
    6.385386      7.0345945     4.5563865     2.8072832     1.4635602 ]",Andrew Santino
"[-3.8562115e+02  4.1344624e+01 -6.3158178e+00  3.4291180e+01
 -5.8314004e+00 -6.8754373e+00 -2.6409445e+01 -1.3203615e+00
 -1.4159336e+01  1.3486207e+01 -2.8963490e+01  6.7925878e+00
 -1.0533631e+01 -3.1713074e-01 -6.6526690e+00 -1.9940178e+00
 -1.3962129e+01  2.3392711e+00 -7.5419087e+00 -3.7103925e+00
 -1.4447191e+01  3.3516874e+00 -8.9925728e+00 -5.5354023e+00
 -4.9299288e+00 -3.9584572e+00 -5.4766417e+00 -5.2323251e+00
 -4.5804825e+00 -5.8511291e+00 -3.9600990e+00 -5.1168356e+00
 -3.8069537e+00 -2.6373188e+00 -3.7700813e+00 -1.6805291e+00
 -2.4954603e+00 -2.8643043e+00 -2.8120553e+00 -1.9126056e+00]",Andrew Santino
"[-4.0653909e+02  4.3616825e+01 -1.8233511e+01  1.8408581e+01
 -1.8119221e+01 -3.1752453e+01 -2.5196650e+01 -4.6541309e+00
 -3.5116937e+00  6.8214307e+00  4.2283869e+00  3.9551723e+00
 -1.1041634e+01  5.7476813e-01 -3.1087441e+00 -6.4538913e+00
 -2.1088200e+00 -8.4995537e+00 -5.2194128e+00 -3.2273839e+00
 -6.2444019e+00 -9.0037823e+00 -5.3341165e+00 -2.0781300e+00
 -4.6470695e+00 -3.2624424e+00 -4.7269764e+00 -9.2229996e+00
 -9.2717428e+00 -5.3047571e+00 -3.6168568e+00 -1.0121689e+00
 -1.5390385e-02  2.0872333e+00  1.4295379e+00  2.6418560e+00
  2.0956290e+00 -2.2988551e+00 -5.4333943e-01 -6.3859063e-01]",Sarah Silverman
"[-3.1532217e+02  9.3476944e+01 -9.7910852e+00  5.2191418e+01
  7.3882909e+00  9.1094770e+00 -2.1180586e+01 -7.5256529e+00
 -1.1283153e+01  8.3611441e+00 -1.9836462e+01  8.2085314e+00
 -9.5199804e+00  1.8783157e+00 -4.6127520e+00  2.1604612e+00
 -6.2573452e+00  3.3094366e+00 -6.3604689e+00  6.5873629e-01
 -8.4726143e+00  7.8854972e-01 -7.0303087e+00 -2.9596107e+00
 -2.1897976e+00 -3.2389269e+00 -4.0993352e+00 -3.5769205e+00
 -1.9235094e+00 -2.0173421e+00 -1.8791707e+00 -1.9777343e+00
 -3.0624948e+00 -2.7979577e-01 -5.2242084e+00 -1.2690736e+00
 -3.0490692e+00 -5.9520526e+00 -1.3506222e+00 -4.2656522e+00]",Bill Burr
"[-2.8429568e+02  8.9194214e+01 -1.8337719e+01  1.8254812e+01
 -9.7797565e+00 -7.3413467e+00 -6.4757214e+00 -4.5711727e+00
 -1.3149950e+01  5.9164820e+00 -8.7979937e+00  9.7121239e+00
 -8.6595659e+00  1.8999104e+00 -3.3381097e+00 -4.7440845e-01
 -7.6502314e+00  2.4140674e-01 -3.1428132e+00  1.5349640e+00
 -7.8862925e+00  1.1794266e+00 -7.0530872e+00 -4.7175899e-01
 -5.0356107e+00 -2.5165429e+00 -4.4382438e-01 -2.5580938e+00
  3.0172374e+00  2.5359328e+00  1.1803252e+00  4.2337317e+00
  3.2852938e+00  2.4847341e+00  5.9538693e+00  3.9915211e+00
  5.0494609e+00  2.5232773e+00  9.4818264e-01  8.5437435e-01]",Bill Burr
"[-3.4639352e+02  6.0080246e+01 -1.5235772e+01  2.3062649e+01
 -8.2407999e+00 -1.8336191e+01 -1.5412853e+01 -1.3849209e+01
 -1.5224079e+01 -3.9565842e+00 -1.2237001e+01  4.6493788e+00
 -1.1539684e+01  1.0007801e+00 -6.6260400e+00 -7.2083607e+00
 -7.4650044e+00 -2.6962419e+00 -1.1881760e+01 -7.3178935e-01
 -9.6157551e+00 -4.9459195e+00 -4.5807390e+00 -2.5321023e+00
 -5.3219457e+00  2.6406090e+00 -2.0307019e+00  2.0230105e+00
  6.3258916e-01  4.6393615e-01  4.5054126e+00  1.9738116e+00
  5.7826014e+00  2.1685474e+00 -3.8858914e-01 -2.1241076e-01
 -1.6024163e+00 -1.6118081e-01 -1.4735754e+00 -3.0192182e+00]",Sofia Franklyn
"[-3.4823370e+02  6.1778179e+01 -1.0773050e+01  2.4512270e+01
 -8.3615952e+00 -9.3516512e+00 -2.6090237e+01 -3.1852639e+00
 -1.9981119e+01  1.1492781e+01 -2.7103605e+01  4.2122865e+00
 -5.6887102e+00 -9.7189385e-01 -9.1652098e+00 -4.0552845e+00
 -1.2447957e+01 -1.4587630e+00 -8.4700632e+00 -2.1586931e+00
 -1.5187482e+01  1.7295625e+00 -7.2993078e+00 -5.4027009e+00
 -2.6309776e+00 -6.5072665e+00 -3.2952132e+00 -8.2022600e+00
 -2.0964365e+00 -5.8333282e+00 -2.6601315e+00 -2.5281496e+00
 -2.4213789e+00 -7.5329006e-01 -2.6727691e+00  1.2429341e+00
  1.7954834e-01  2.8215146e-01  8.7738180e-01  3.4257159e+00]",Andrew Santino
"[-323.31937      97.14451      -9.409755     18.016989      1.7996038
    2.6789968   -14.87415      -3.9499533   -15.063        10.459425
  -12.156343      8.830123    -10.322709     -0.4026274    -1.7477288
   -6.1513844    -8.685755     -0.83900034   -9.557421     -1.7077557
   -7.692905     -4.0116835    -4.684493     -7.1003566    -3.8670788
   -6.5819087    -4.4345546    -5.9546947    -4.4525356    -5.831887
   -5.0895853    -4.5291376    -5.3334928    -3.522681     -4.566894
   -2.7727864    -2.0853145    -1.4464614    -1.2702239    -1.2129401 ]",Andrew Santino
"[-2.3194353e+02  5.5149391e+01 -2.7132208e+01  8.7689257e+00
 -3.3737663e+01 -9.7646723e+00 -2.8723814e+01 -1.5493485e+01
 -2.4006113e+01 -1.6036423e+01 -2.3320364e+01 -6.0230875e+00
 -2.3305323e+01 -4.0243878e+00 -2.2693165e+01 -5.8044605e+00
 -1.4870800e+01 -9.2323446e+00 -1.1116177e+01 -4.5436950e+00
 -5.3142605e+00 -5.0592766e+00  4.2159206e-01  1.1380159e+01
  7.4249387e+00  1.7884138e+01  8.4574900e+00  7.9476867e+00
  5.8390183e+00  5.8859158e+00  5.4736810e+00  8.7010593e+00
  6.1209965e+00  5.3026414e+00 -1.6511448e-01 -2.3846261e-01
  1.6112798e-01  2.4874995e+00  1.8930463e-01 -7.4133706e-01]",Sarah Silverman
"[-3.6928391e+02  4.6329613e+01 -1.6772091e+01  5.4930243e+00
 -2.3274071e+01 -1.1007715e+01 -1.5921271e+01 -2.2197746e-01
 -2.5794588e+01 -7.4184337e+00 -8.0339756e+00 -8.1587601e-01
 -1.6059334e+01 -9.5589352e+00 -3.2283753e-01 -1.1748569e+01
 -6.6069083e+00 -1.4428554e+00 -5.1260710e+00 -2.1444421e+00
 -1.6511415e+00 -3.7669787e-01 -5.1332846e+00 -4.2808411e-01
 -7.9504925e-01 -7.0978827e+00 -1.0042019e+00  4.1383815e-01
 -2.7997487e+00  5.6923699e+00  5.1398997e+00  5.8238215e+00
  6.9934850e+00  3.5446863e+00  1.7931617e+00 -3.8153164e+00
  1.8769144e-01 -1.6065009e+00  2.7130010e+00  1.3678887e+00]",Sarah Silverman
"[-2.5456287e+02  7.7289818e+01 -1.1792235e+01  2.0580251e+00
 -2.1160719e+01 -5.0862637e+00 -3.2636024e+01 -1.9220531e+01
 -1.9446146e+01 -1.3667153e+01 -2.0607735e+01 -4.7757154e+00
 -2.2214293e+01 -7.8771639e+00 -1.9323849e+01 -6.8497033e+00
 -2.0997602e+01 -6.0887799e+00 -1.4208592e+01 -2.7063949e+00
 -5.9865770e+00 -2.0649726e+00 -5.6718769e+00  1.2614012e+00
 -6.2410817e+00  3.0803471e+00 -3.1444731e-01  4.2493796e+00
  4.6382837e+00  1.5417763e+00  4.6686339e+00  1.5066253e+00
  1.0596790e+00  5.5133090e+00  2.1918671e+00  5.4283009e+00
  2.4535306e+00  2.0777581e+00 -1.3120215e-01 -7.6402283e-01]",Sarah Silverman
"[-3.3683713e+02  7.5402939e+01 -5.9404856e-01  5.1419407e+01
  4.2626009e+00  9.7181435e+00 -1.7227406e+01 -7.9560137e+00
 -1.8345425e+01  3.9716465e+00 -1.1884683e+01  8.2521553e+00
 -1.5688521e+01  8.0059137e+00 -1.9808203e+00  1.5547529e+00
 -1.1557732e+01  7.0600390e+00 -1.1090936e+01 -4.2693105e-01
 -6.7902322e+00  1.2173766e+00 -4.3230581e+00  1.4501632e+00
 -1.6709374e+00 -2.3425716e-01 -5.2995577e+00  7.9932743e-01
 -2.4445660e+00 -3.7452540e+00 -2.3452520e+00 -1.9347230e+00
 -1.7470732e+00 -3.0875310e-01 -3.2076175e+00 -2.1800885e+00
 -4.0582170e+00 -2.4652877e+00 -2.4525383e+00 -2.8528039e+00]",Bill Burr
"[-321.4412       90.34703      -9.349296     34.026363      6.0078745
    3.5387442   -16.594288     -3.7468145   -12.354608     11.073357
  -16.019438      9.758541    -11.143887      3.4366167    -1.0660918
   -1.7387942    -6.945236      2.670319     -5.3148293    -1.9754046
   -6.984807      0.43645117   -8.004162     -4.2705927    -5.8708906
   -5.4410996    -5.0718923    -5.774692     -5.16344      -5.0722814
   -3.9388714    -3.776231     -4.15141      -4.0435967    -3.7862976
   -4.120849     -3.575088     -3.7640743    -2.6070924    -3.7862651 ]",Andrew Santino
"[-3.7481351e+02  7.3316872e+01 -1.4775182e+00  3.3979763e+01
 -4.5450587e+00  9.5392733e+00 -1.0041795e+01  2.6942220e+00
 -5.5154819e+00  5.6101213e+00 -6.1743469e+00  9.4753647e+00
 -7.4220781e+00  6.1872997e+00  4.1872993e-01  2.4885385e+00
 -4.6410623e+00  2.9487314e+00 -4.1393104e+00  2.1241438e+00
 -3.3010187e+00  3.0088208e+00 -4.7094402e+00  2.2884646e-01
 -1.2730975e+00  7.6470119e-01 -2.1703999e+00 -9.8649353e-01
  4.9264455e-01  1.0590199e+00  1.7343833e-01  7.6466238e-01
  1.2967235e-01 -2.1851686e-01  1.9288912e+00  6.8893439e-01
  5.5161351e-01 -5.0953418e-02  1.3243169e+00 -1.6277544e-01]",Bill Burr
"[-279.48474      53.1208      -18.609394     37.251587    -11.208699
  -22.003216    -32.62108     -11.180302    -19.382847     -1.1076089
  -25.945919     -0.57303596   -9.780143      2.9800098    -8.532709
  -13.435155    -14.244632     -0.6152568   -10.98691       0.38119084
   -6.3991446    -5.186787     -6.196132      0.40676716  -12.214221
   -1.5622146    -8.980842      0.4710957     5.2221694     4.337483
    9.524372      7.386178     10.408523      2.5368738    -3.1494205
   -2.5547175    -4.413221      0.82134664   -2.7857628    -2.4782915 ]",Sofia Franklyn
"[-3.4886859e+02  7.3052460e+01 -2.0144709e+01  1.5600821e+01
 -5.8986163e+00 -1.3034047e+01 -2.2065893e+01 -1.2905334e+01
 -3.3229644e+00 -1.7828872e+00 -2.1606503e+01 -2.0778369e-02
 -1.4547864e+01  2.4182038e+00 -8.2904987e+00 -7.0691934e+00
 -9.7007256e+00 -1.8044769e+00 -8.3364439e+00 -1.3622493e+00
 -8.1737108e+00 -6.2117724e+00 -5.7950692e+00 -1.9946104e-01
 -4.3216271e+00  1.3778040e+00 -2.5383310e+00  1.2894742e+00
  3.2363753e+00 -1.4432136e+00  3.4508734e+00 -2.4299109e+00
  4.7666198e-01 -5.3442276e-01 -4.4719878e-01 -5.4949015e-02
 -3.8768896e-01  9.6030933e-01 -3.4621038e+00 -3.1330531e+00]",Sofia Franklyn
"[-2.7401468e+02  7.7775421e+01 -6.5072929e+01  2.3757208e+01
 -1.0468320e+01 -1.9545797e+01 -1.6012194e+01  5.2237463e+00
 -2.3347872e+01  1.9153709e+01 -2.3563855e+00  1.2040778e+01
 -1.0165871e+00 -5.8859429e+00 -5.8037062e+00  1.6322328e+00
  6.8556805e+00  1.9971357e+01  1.9996046e+01  1.5396352e+01
  9.0439873e+00  1.9343982e+00 -2.5319171e+00  6.6364080e-01
  2.8665228e+00  1.2454065e-01 -1.3208842e+00 -2.5552576e+00
  1.6261355e+00  6.5324821e+00  2.6108880e+00 -2.8141863e+00
 -6.8665481e+00 -2.7215087e+00  2.9343998e+00  3.9553497e+00
  7.4879208e+00  4.6977572e+00  3.3321068e+00  3.1703424e-01]",Bill Burr
"[-3.5969226e+02  9.1903236e+01 -1.9295217e+00  2.8013378e+01
  9.8757524e+00  4.1552365e-01 -1.5393941e+01 -9.8675549e-02
 -1.4508625e+01  1.0306944e+01 -1.6360159e+01  8.9230471e+00
 -1.0454525e+01  5.3016195e+00 -4.4569936e+00 -4.3483200e+00
 -8.2777958e+00  5.6672561e-01 -1.3490282e+01 -6.6882837e-01
 -9.9510326e+00 -2.2574353e+00 -7.1397524e+00 -5.5518627e+00
 -4.7257390e+00 -7.0977168e+00 -4.9478917e+00 -6.4928918e+00
 -6.0271111e+00 -5.4116640e+00 -4.6400952e+00 -4.6431518e+00
 -5.6175394e+00 -3.8346350e+00 -4.0637426e+00 -5.1304345e+00
 -4.3905969e+00 -4.1295576e+00 -3.0358977e+00 -4.8832426e+00]",Andrew Santino
"[-4.2340833e+02  9.4997055e+01 -1.0220536e+00  2.2514599e+01
  5.1752710e+00  3.8439758e+00 -1.2671123e+01  7.3997313e-01
 -4.0481806e+00  9.6677732e+00 -8.8637476e+00  9.0605640e+00
 -3.9335065e+00  2.5716739e+00 -4.1685054e-01  1.1745377e+00
 -6.3562937e+00  2.7636180e+00 -1.0043577e+00  9.8651129e-01
 -7.2791090e+00  1.7378640e+00 -5.3190875e+00 -1.5200078e+00
 -7.1248895e-01  4.6771082e-01 -2.3923884e-01 -1.6913725e+00
  2.6676130e-01 -1.1612014e+00 -1.7543533e+00 -8.2818478e-01
 -1.7597296e+00  9.8622404e-02 -1.8608438e+00 -1.2493794e+00
 -5.2782351e-01 -2.8150966e+00 -1.7381092e+00 -1.4911796e+00]",Bill Burr
"[-2.7941907e+02  8.7185570e+01 -1.7569790e+01  3.5391651e+01
  5.3012723e-01 -3.7358441e+00 -6.4601593e+00 -5.1324773e+00
 -8.9636469e+00  9.1646471e+00 -1.1793463e+01  1.0737493e+01
 -4.4319506e+00  2.2481546e-01 -1.3627728e+00  3.4070046e+00
 -5.4478469e+00  2.4921515e+00 -1.8116544e+00  8.3702433e-01
 -6.4822474e+00  1.2221651e+00 -5.5930576e+00  1.4471635e+00
 -3.4146979e+00  2.2847834e+00 -2.3768239e+00  2.6455367e-02
 -1.6312097e-01 -1.6814010e-01 -3.6278796e+00 -8.4775996e-01
 -4.7225928e+00 -1.4706362e+00 -2.0457067e-01 -6.5960056e-01
  4.0599780e+00  1.9231811e+00  2.0837719e+00  1.7486271e+00]",Bill Burr
"[-2.0976793e+02  4.9413494e+01 -4.9242378e+01  1.2419710e+01
 -2.4233799e+01 -1.7694424e+01 -2.5756889e+01 -2.0222986e+01
 -1.7288435e+01  7.8957639e+00 -2.3494459e+01 -1.9898175e+00
 -1.9858250e+01  1.1382030e+01 -9.4934959e+00 -4.8187761e+00
 -9.9448287e-01 -2.5124128e+00  9.1141838e-01  7.2245402e+00
 -1.1629789e+00  4.8348913e+00  1.5285211e+00  6.0647593e+00
  2.1269946e+00  5.2238498e+00 -9.2824394e-01 -9.1311604e-01
 -5.9103222e+00 -3.6833744e+00 -2.0576684e+00 -1.3960417e-01
  1.1026417e+00 -3.5194547e+00 -4.4730964e+00 -1.8388845e+00
 -1.4378505e+00 -2.2962167e+00 -3.0558970e+00  7.8721344e-01]",Sofia Franklyn
"[-4.6980472e+02  4.8337845e+01  1.9319477e+00  9.4594793e+00
  6.8190112e+00  1.1458173e+00 -7.7013907e+00  1.6006360e+00
 -3.3607397e+00 -3.5380809e+00 -3.5705936e+00  2.5700014e+00
 -4.4776831e+00  3.4647173e-01 -3.8674536e+00  1.1801240e+00
 -3.0850484e+00 -5.1961815e-01 -2.3126199e+00 -1.3288761e+00
 -3.3413300e-01 -1.4016657e+00 -1.1316868e+00 -1.5299116e+00
 -1.7605356e+00 -2.3539417e+00 -7.0063514e-01 -2.1825905e+00
 -1.5847230e+00 -2.3449402e+00 -7.7959746e-01 -2.5294647e+00
 -8.0100566e-01 -1.2364113e+00 -1.5117332e+00 -1.6508193e+00
 -2.0044601e+00 -9.2620683e-01 -1.0497452e+00 -1.9889729e+00]",Sarah Silverman
"[-3.4222186e+02  4.9905312e+01 -1.4500482e+01  3.6519547e+01
  4.1838207e+00  1.9225679e+01 -2.0377022e+01 -5.7141483e-01
  3.8780179e+00 -1.2491275e+00 -5.7667732e+00  1.6329176e+00
 -1.5801318e+00  5.8437634e+00 -1.6534592e+00  1.3039230e+00
 -6.3281379e+00  1.1481487e+01 -6.2247329e+00  2.4930326e-02
  5.0753289e-01  6.4558828e-01 -1.8142329e+00 -5.0168359e-01
  3.7196963e+00  1.9101486e+00  3.4063993e+00  2.0988438e-01
  3.5090861e+00  6.3224658e-02 -2.2362530e+00  2.3755338e+00
 -3.6802363e-01  3.0625613e+00  9.3402505e-01  5.2699625e-01
  3.4924943e+00  3.1548264e+00  3.2218421e+00  3.9030015e-01]",Bill Burr
