feature,class
"[-2.8090707e+02  6.9685974e+01 -4.3329685e+01  7.6330152e+00
 -1.2121156e+01 -1.3932682e+01 -2.8859127e+01 -9.7901239e+00
 -2.8531101e+01 -1.3226981e-01 -1.6686451e+01 -3.1495245e+00
 -9.8557034e+00  8.3534199e-01 -3.4166181e+00 -4.9209466e+00
 -6.7908278e+00  3.0663278e+00 -4.1171136e+00  3.4878597e-01
  2.2745337e+00  2.6012204e+00  2.7325525e+00  6.0887890e+00
 -3.1259809e+00  4.4996724e+00  5.5627501e-01 -7.4263513e-01
 -2.3687906e+00 -3.5012200e+00 -6.2975782e-01 -1.8620193e+00
 -4.3104303e-01 -3.5154090e+00 -2.7635999e+00 -1.7319385e+00
 -2.3815463e+00 -2.5335438e+00 -5.5864792e+00 -2.7360759e+00]",Sofia Franklyn
"[-3.3312677e+02  6.4381676e+01 -9.9154091e+00  2.0849327e+01
 -1.0714894e+01 -5.2177324e+00 -3.1135533e+00 -1.2426828e-02
 -9.9749002e+00  2.3158503e-01 -1.0101256e+01  7.1072087e+00
 -7.9232459e+00  5.1861115e+00 -2.9224627e+00  3.2426766e-01
 -6.1693120e+00  2.7476370e+00 -4.9751701e+00  9.1107816e-01
 -6.3826699e+00  1.2620481e+00 -3.7730427e+00 -2.4348698e+00
 -7.6974666e-01 -7.7172977e-01 -1.1940356e+00  2.9859838e+00
 -2.4158086e-01  3.5529783e+00  2.5777211e+00  4.3256202e+00
  6.0660367e+00  5.1013665e+00  3.8123970e+00  5.1404136e-01
  7.0079541e-01  5.7927376e-01  2.4773343e+00  1.2024907e+00]",Bill Burr
"[-225.0168      84.26318    -32.35183     22.168062   -22.878149
  -23.68356    -31.16048    -24.162981   -14.634362     6.461124
  -25.505194    -8.429773    -9.119088     8.43175     -8.621679
   -2.2558882   -4.5973845   -2.8851113   -3.1776073   -0.4773505
   -3.1034136   -3.8904233   -2.2100341    5.717354    -2.0662532
    4.933437     1.1266847    1.7189577    1.0399355    2.183253
    4.906583    -1.4064187   -2.1588836   -4.880741    -1.8208128
   -1.5232533   -2.8398726   -0.721969    -3.3278596   -1.9842695]",Sofia Franklyn
"[-244.73961    104.4216     -60.353867    18.750673   -13.36596
   -6.4625893  -14.082133    -7.562341   -33.982395   -12.018149
  -11.748195   -21.830303    -4.27404    -21.674097    -1.9563073
   -4.809351   -10.557853    -6.837404    -4.1861234   -5.0604844
  -10.677486    -3.1398118   -9.467099    -7.0826044   -2.2254384
   -6.209655    -4.3925433   -3.7485096   -3.8225346   -4.917338
   -4.731682    -1.934477    -3.9832926   -4.8558626   -3.5245574
   -4.4938602   -4.8819647   -5.0843444   -4.2002687   -3.9699104]",Sarah Silverman
"[-3.11941101e+02  2.58916492e+01 -3.47648096e+00  1.92374363e+01
 -1.41210871e+01 -1.71822751e+00 -2.81713581e+01 -3.71323633e+00
 -1.63881454e+01  8.35910797e+00 -1.94173355e+01  1.55083275e+00
 -1.26931705e+01  2.96299505e+00 -5.56984520e+00 -7.78377199e+00
 -9.30335522e+00 -1.49020655e-02 -1.31362514e+01 -3.87679078e-02
 -1.44523392e+01  1.97238430e-01 -4.21386766e+00 -2.52663279e+00
  2.09117270e+00 -1.14279203e-01 -2.99546510e-01 -5.08354604e-01
 -1.33064187e+00 -2.34772348e+00 -2.76270604e+00  2.72546291e+00
  7.52131283e-01  3.33717728e+00  1.75836062e+00  1.02074432e+00
  5.44470191e-01  1.10662270e+00  1.32446706e+00 -8.72882009e-01]",Andrew Santino
"[-2.98051483e+02  6.52010117e+01 -2.61534691e+01  2.40679817e+01
 -5.60832739e+00 -1.12172308e+01 -1.95295048e+01 -1.73800888e+01
 -1.82151394e+01  3.21149564e+00 -1.84245625e+01 -1.10279632e+00
 -1.05011730e+01  5.61291838e+00 -1.26822405e+01 -6.47118711e+00
 -1.00234432e+01 -5.61935127e-01 -1.11482325e+01 -4.22199440e+00
 -6.52808952e+00 -6.26371908e+00 -6.16214752e+00  7.77999312e-02
 -1.08282347e+01 -1.67721641e+00 -4.53594112e+00 -5.43171978e+00
 -2.77615166e+00 -4.50510454e+00  2.36082292e+00  3.40696263e+00
  6.55334520e+00  8.00858974e+00  6.30883360e+00  5.74169874e+00
  6.73783243e-01  6.79953337e-01 -2.91161752e+00 -1.09298003e+00]",Sofia Franklyn
"[-3.0679321e+02  1.0181796e+02 -1.6110041e+01  2.2994942e+01
  2.0185978e+00  6.9454203e+00 -7.5345325e+00 -2.4348018e+00
 -1.6653036e+01  1.2449007e+01 -1.6268620e+01  9.7529030e+00
 -8.2635765e+00  1.8047779e+00  4.7902817e-01 -2.2850680e+00
 -8.0524044e+00  4.6169386e+00 -5.3197298e+00  1.4753517e+00
 -7.8565440e+00  2.1177049e+00 -5.4288297e+00 -6.3622105e-01
 -2.7840111e+00 -5.6349641e-01 -3.7639163e+00 -3.0079463e+00
 -1.8224095e+00 -1.9111501e+00 -2.1160784e+00 -1.0489619e+00
 -3.0961103e+00 -1.2231662e+00 -3.0456617e+00  4.6239465e-02
 -2.2395887e+00 -1.3521498e+00  6.2385815e-01  8.2868201e-01]",Bill Burr
"[-290.2868     110.39436     -9.72351     40.013428     1.3610783
   -1.7382431   -8.671233    -4.301658   -14.89187     10.356482
  -21.437212    11.90727    -10.609707    -1.9206253   -3.9089496
   -1.9796894  -13.666325     4.7751675  -10.388007    -2.2933156
   -7.960077    -1.0929581   -5.6769247   -4.0209727   -5.090031
   -7.2478156   -3.2152517   -7.791826    -2.6648433   -4.7104974
   -4.125212    -3.3985567   -2.9200978   -6.296576    -2.580029
   -4.559107    -3.6156754   -4.586769    -3.5733714   -3.03207  ]",Andrew Santino
"[-3.1208878e+02  9.7932770e+01 -8.0286157e-01  2.6299711e+01
  4.9472876e+00 -7.3777914e-01 -1.3626767e+01 -7.5968390e+00
 -1.6302345e+01  9.1262150e+00 -1.7605320e+01  5.7786350e+00
 -1.1762595e+01  1.7304264e+00 -5.1135535e+00  1.5227731e+00
 -9.0668850e+00 -9.5971696e-02 -5.6339421e+00 -6.1857510e+00
 -9.6769123e+00 -1.3543866e+00 -9.3126850e+00 -3.1897304e+00
 -8.7201920e+00 -4.0484300e+00 -5.9875941e+00 -5.6094089e+00
 -4.0943937e+00 -4.6128492e+00 -4.9446540e+00 -2.2239001e+00
 -4.9005284e+00 -2.9825673e+00 -4.6516390e+00 -3.3425419e+00
 -3.9981534e+00 -3.2734284e+00 -3.2478831e+00 -1.5554806e+00]",Andrew Santino
"[-2.6089777e+02  6.3824512e+01 -2.3892792e+01  2.9036240e+01
 -2.5591074e+01 -1.8012325e+01 -1.8952242e+01 -1.6749666e+01
 -1.4305093e+01  4.1047010e+00 -2.0663927e+01 -3.2267869e+00
 -1.5126572e+01  4.8335447e+00 -1.2593668e+01 -5.5035253e+00
 -7.0652905e+00 -9.2750998e+00 -7.4550271e+00 -5.1466084e+00
 -1.0305619e+01 -5.2794695e+00 -9.0840635e+00  4.1182504e+00
 -3.0968165e+00  4.5778937e+00 -2.8428033e-01  1.6337581e+00
  4.1846137e+00  5.0287824e+00  7.0499725e+00  6.0307231e+00
  7.3538094e+00 -8.5857235e-02 -2.5922441e+00 -4.1000652e+00
 -2.9667380e+00  5.9587055e-01 -2.6959991e+00 -2.6119056e+00]",Sofia Franklyn
"[-421.03775     72.93423      6.926411    23.052757     6.6464577
    3.1322045   -9.504098    -2.873728    -6.4814525    5.75916
  -10.279382     5.795809    -6.5670724    2.6791484   -2.1104178
   -4.790099    -5.001468     0.9450393   -8.234351    -2.6389043
   -8.569292    -1.8918219   -6.8266497   -4.719246    -4.3678303
   -5.1077113   -4.7724867   -4.710284    -5.7716637   -4.267797
   -3.736453    -3.8229523   -4.197966    -3.1815522   -1.4002737
   -2.3671472   -2.5625129   -2.6138496   -2.2641273   -2.1491299]",Andrew Santino
"[-3.7977469e+02  7.0508842e+01 -1.0641354e+01  3.5084003e+01
  8.1004744e+00  5.1246123e+00 -6.7586904e+00 -2.6104598e+00
 -7.8933573e+00  9.9327145e+00 -1.1215450e+01  3.9887018e+00
 -1.0072592e+01  3.2494681e+00 -3.0733287e+00  4.1311908e+00
 -5.3221903e+00  3.4903202e+00 -2.5173483e+00 -3.8537809e-01
 -7.0636401e+00  1.6344647e+00 -6.2149920e+00 -1.0929942e+00
 -9.0643716e-01 -1.2332776e+00 -2.2715819e+00  4.4078550e-01
 -1.7951930e+00 -8.1953776e-01 -7.5162590e-01 -1.3232195e+00
 -2.5647464e+00 -1.7862527e+00 -2.3614893e+00 -1.7621379e+00
 -2.0810192e+00 -3.9429593e-01  2.2958820e-01  1.0187652e+00]",Bill Burr
"[-323.92966      71.892555    -11.31398      23.015326    -23.394405
   -5.7225575   -28.136284     -8.00859     -16.563902    -11.785901
  -18.076597     -2.9268277   -18.841433     -1.6248893   -15.607814
   -4.846329    -12.496935     -8.355272    -12.206346     -6.4901185
   -9.17934      -9.771728     -9.293355     -2.8981364    -7.866227
   -1.1512849    -1.6398368    -4.196692     -2.0348222    -4.0696282
   -3.6744049    -3.4019113    -2.5389407    -1.7629179    -2.0830584
    2.0572321     1.4643611     0.9841136     0.85248893    4.1980014 ]",Sarah Silverman
"[-2.98687408e+02  7.27401352e+01 -2.85421753e+01  4.74033928e+00
 -2.09069767e+01 -7.81180501e-01 -1.63092308e+01 -8.14071274e+00
 -1.43596544e+01 -5.52617431e-01 -1.24125891e+01 -1.78749692e+00
 -6.27897596e+00  1.45978713e+00 -9.59585190e+00 -2.85788178e+00
 -4.59865284e+00 -5.10762072e+00 -6.25718021e+00 -2.64745927e+00
 -7.19151783e+00 -1.30150497e+00 -4.04766512e+00  1.90060580e+00
 -2.53361583e+00  3.49732637e+00  4.07831460e-01  1.20294295e-01
  1.04061460e+00 -5.94178498e-01  7.56660581e-01  1.88419545e+00
  3.25506592e+00 -1.45217776e+00 -2.78290963e+00 -3.31707096e+00
 -2.32118464e+00  1.92482829e+00 -1.99337327e+00 -2.89962482e+00]",Sofia Franklyn
"[-354.29443      75.80646       1.7832297    31.120958      1.2320219
   -1.2273821   -12.14287      -1.7534161   -17.829165      9.458828
  -16.070831      7.2273583    -8.176412     -3.0869837    -2.2407417
   -0.36143732   -9.551172      1.5861781    -8.941684     -4.1505365
   -7.540086     -4.023237     -8.107419     -4.3936696    -3.57725
   -2.5646718    -5.246348     -4.5041447    -4.204113     -4.0938787
   -4.509004     -3.6838856    -5.6122174    -3.1559904    -4.443135
   -1.1140623    -2.976849     -1.8791654    -3.7408803    -2.5299265 ]",Andrew Santino
